index,slug,name,cluster,cluster_size,ex_max,em_max,seq_len,surrogate_split,oracle_split
404,neptune,Neptune,2,56,600.0,650.0,244,train,test
405,mginger1,mGinger1,7,7,587.0,637.0,219,test,test
406,htfunclib_sfthermo9,htFuncLib_sf:thermo.9,0,165,502.0,515.0,249,train,train
407,superfolder-gfp,Superfolder GFP,0,165,488.0,510.0,238,train,train
408,rdsmcherry1,RDSmCherry1,1,71,600.0,630.0,236,train,train
409,rsegfp2,rsEGFP2,0,165,478.0,503.0,239,train,train
410,eqfp650,eqFP650,2,56,592.0,650.0,234,train,test
411,htfunclib_sfmid9,htFuncLib_sf:mid.9,0,165,497.0,511.0,249,train,train
412,sopp3,SOPP3,4,9,439.0,490.0,106,test,test
413,mazamigreen,mAzamiGreen,3,51,492.0,505.0,225,val,train
414,e2-crimson,E2-Crimson,1,71,611.0,646.0,225,train,train
415,mrfp12,mRFP1.2,1,71,590.0,612.0,226,train,train
416,lssmscarlet,LSSmScarlet,1,71,470.0,598.0,232,train,train
417,avicfp4,AvicFP4,21,2,500.0,512.0,232,val,val
418,htfunclib_sfmid7,htFuncLib_sf:mid.7,0,165,489.0,509.0,249,train,train
419,vsfgfp-9,vsfGFP-9,0,165,485.0,510.0,353,train,train
420,snifp,SNIFP,12,3,697.0,720.0,320,train,val
421,avicfp2,AvicFP2,14,3,480.0,515.0,232,test,train
422,htfunclib_basic4,htFuncLib_basic.4,0,165,464.0,501.0,248,train,train
423,staygold,StayGold,10,5,496.0,505.0,217,test,val
424,mcrispred,mCRISPRed,2,56,460.0,592.0,237,train,test
425,phuji,pHuji,1,71,566.0,598.0,236,train,train
426,meos4b,mEos4b,3,51,505.0,516.0,227,val,train
427,meos4b,mEos4b,3,51,570.0,580.0,227,val,train
428,t-sapphire,T-Sapphire,0,165,399.0,511.0,239,train,train
429,htfunclib_mid3,htFuncLib_mid.3,0,165,501.0,513.0,248,train,train
430,sumire,Sumire,0,165,343.0,414.0,236,train,train
431,htfunclib_slow3,htFuncLib_slow.3,0,165,483.0,506.0,248,train,train
432,mturquoise2_t203y,mTurquoise2_T203Y,0,165,471.0,514.0,238,train,train
433,mcarmine,mCarmine,2,56,603.0,675.0,244,train,test
434,lss-mkate2,LSS-mKate2,2,56,460.0,605.0,233,train,test
435,mkillerorange,mKillerOrange,6,8,458.0,560.0,237,test,test
436,mk-go,mK-GO,9,6,548.0,561.0,218,test,test
437,mk-go,mK-GO,9,6,500.0,509.0,218,test,test
438,mraspberry,mRaspberry,1,71,598.0,625.0,226,train,train
439,zsyellow1,ZsYellow1,11,5,529.0,539.0,231,train,val
440,htfunclib_bleach5,htFuncLib_bleach.5,0,165,474.0,510.0,248,train,train
441,minisog,miniSOG,4,9,447.0,501.0,106,test,test
442,htfunclib_mid13,htFuncLib_mid.13,0,165,480.0,506.0,248,train,train
443,h2-3,h2-3,45,1,506.0,516.0,234,val,val
444,reach2,REACh2,0,165,510.0,538.0,239,train,train
445,scfp3a,SCFP3A,0,165,433.0,474.0,239,train,train
446,lssmgfp,LSSmGFP,0,165,400.0,510.0,239,train,train
447,azamigreen,AzamiGreen,3,51,492.0,505.0,225,val,train
448,sopp,SOPP,4,9,440.0,487.0,106,test,test
449,mkokappa,mKOκ,9,6,551.0,563.0,218,test,test
450,fusionred-mqv,FusionRed-MQV,2,56,566.0,585.0,232,train,test
451,mneongreen,mNeonGreen,26,2,506.0,517.0,236,val,val
452,lssmapple,LSSmApple,1,71,490.0,600.0,236,train,train
