index,slug,name,surrogate_role,oracle_role
689,phiyfpv,phiYFPv,train,train
690,phluorin2,pHluorin2,train,train
691,phluorin2,pHluorin2,train,val
692,phluorin4,pHluorin4,train,test
693,phluorin4,pHluorin4,train,train
694,phluorin-ecliptic,"pHluorin, ecliptic",train,train
695,phluorin-ecliptic,"pHluorin, ecliptic",train,train
696,phluorin-ratiometric,"pHluorin, ratiometric",val,train
697,phluorin-ratiometric,"pHluorin, ratiometric",train,train
698,phmscarlet,pHmScarlet,test,train
699,phmscarlet,pHmScarlet,train,train
700,phmscarlet,pHmScarlet,train,test
701,phmscarlet,pHmScarlet,train,train
702,phmscarlet,pHmScarlet,val,train
703,phmscarlet,pHmScarlet,train,val
704,phmscarlet,pHmScarlet,train,train
705,phmscarlet,pHmScarlet,test,train
706,ph-tdgfp,pH-tdGFP,train,train
707,phuji,pHuji,val,train
708,plamgfp,plamGFP,train,val
709,plobrfp,plobRFP,val,train
710,pmeagfp1,pmeaGFP1,train,test
711,pmeagfp2,pmeaGFP2,test,train
712,pmimgfp1,pmimGFP1,train,val
713,pmimgfp2,pmimGFP2,test,train
714,pp2-fbfp,Pp2 FbFP,test,train
715,pp2fbfp-l30m,Pp2FbFP L30M,train,test
716,pplugfp1,ppluGFP1,val,train
717,pplugfp2,ppluGFP2,train,train
718,pporgfp,pporGFP,train,train
719,pporrfp,pporRFP,train,train
720,pross-egfp,PROSS-eGFP,train,train
721,psamcfp,psamCFP,train,val
722,ps-cfp,PS-CFP,train,train
723,ps-cfp,PS-CFP,val,train
724,ps-cfp2,PS-CFP2,test,train
725,ps-cfp2,PS-CFP2,train,test
726,pslssmkate,PSLSSmKate,test,train
727,pslssmkate,PSLSSmKate,val,train
728,psmorange,PSmOrange,train,train
729,psmorange,PSmOrange,val,train
730,psmorange2,PSmOrange2,train,test
731,psmorange2,PSmOrange2,train,val
732,ptilgfp,ptilGFP,val,train
733,qc2-6,QC2-6,val,train
734,r3-2pcb,R3-2+PCB,train,train
735,rcamp,RCaMP,val,train
736,rdsmcherry01,RDSmCherry0.1,train,test
737,rdsmcherry02,RDSmCherry0.2,train,test
738,rdsmcherry05,RDSmCherry0.5,train,val
739,rdsmcherry1,RDSmCherry1,test,train
740,reach1,REACh1,val,train
741,reach2,REACh2,test,train
742,rflogfp,rfloGFP,train,test
743,rfp611,RFP611,train,test
744,rfp618,RFP618,train,val
745,rfp630,RFP630,train,train
746,rfp637,RFP637,train,test
747,rfp639,RFP639,test,train
748,rogfp1,roGFP1,train,train
749,rogfp1-r1,roGFP1-R1,train,test
750,rogfp1-r8,roGFP1-R8,train,test
751,rogfp2,roGFP2,train,train
752,rosmarinus,Rosmarinus,val,train
753,rrengfp,rrenGFP,train,train
754,rrvt,RRvT,train,test
755,rscherry,rsCherry,test,train
756,rscherryrev,rsCherryRev,train,test
757,rscherryrev14,rsCherryRev1.4,train,train
758,rsegfp,rsEGFP,train,train
759,rsegfp2,rsEGFP2,train,train
760,rsfastlime,rsFastLime,train,val
761,rsfolder,rsFolder,train,val
762,rsfolder2,rsFolder2,train,test
763,rsfusionred1,rsFusionRed1,train,train
764,rsfusionred2,rsFusionRed2,train,train
765,rsfusionred3,rsFusionRed3,train,train
766,rsgreen1,rsGreen1,train,train
767,rskame,rsKame,train,val
768,rstagrfp,rsTagRFP,train,test
769,rtms5,Rtms5,val,train
770,saasoti,SAASoti,train,train
771,saasoti,SAASoti,train,test
772,sandercyanin,Sandercyanin,train,train
773,sapphire,Sapphire,test,train
774,sarcgfp,sarcGFP,test,train
775,sbfp1,SBFP1,train,val
776,sbfp2,SBFP2,test,train
777,scfp1,SCFP1,test,train
778,scfp2,SCFP2,val,train
779,scfp3a,SCFP3A,train,test
780,scfp3b,SCFP3B,train,train
781,scubrfp,scubRFP,val,train
782,secbfp2,secBFP2,train,test
783,seyfp,SEYFP,train,train
784,sforange,sfOrange,test,train
785,sg11,sg11,val,train
786,sg12,sg12,train,val
787,sg25,sg25,train,train
788,sg42,sg42,train,train
789,sg50,sg50,train,train
790,sgfp1,SGFP1,test,train
791,sgfp2,SGFP2,train,train
792,sgfp2206a,SGFP2(206A),train,train
793,sgfp2e222q,SGFP2(E222Q),train,train
794,sgfp2t65g,SGFP2(T65G),train,train
795,sh3,SH3,test,train
796,shadowg,ShadowG,train,train
797,shadowy,ShadowY,train,test
798,shardonnay,SHardonnay,train,train
799,shbfp,shBFP,train,val
800,shbfp-n158kl173i,shBFP-N158K/L173I,train,train
801,shbfp-n158sl173i,shBFP-N158S/L173I,train,test
802,shcp-e63ly64h,shCP-E63L/Y64H,train,test
803,shg24,ShG24,test,train
804,shyrfp,ShyRFP,train,train
805,sirius,Sirius,train,train
806,siriusgfp,SiriusGFP,train,train
807,skylan-ns,Skylan-NS,train,train
808,skylan-s,Skylan-S,test,train
809,smurfp,smURFP,train,train
810,smurfp_25,smURFP_2.5,test,train
811,snifp,SNIFP,train,train
812,sopp,SOPP,val,train
813,sopp2,SOPP2,train,train
814,sopp3,SOPP3,train,train
815,spoon,SPOON,train,train
816,sreach1,sREACh1,train,train
817,sreach2,sREACh2,val,train
818,staygold,StayGold,train,train
819,staygold-e138d,StayGold-E138D,train,train
820,stylgfp,stylGFP,train,train
821,sumire,Sumire,train,train
822,superecliptic-phluorin,superecliptic pHluorin,train,val
823,superfolder-bfp,Superfolder BFP,train,train
824,superfolder-cfp,Superfolder CFP,train,train
825,superfolder-gfp,Superfolder GFP,test,train
826,superfolder-mturquoise2,Superfolder mTurquoise2,train,train
827,superfolder-mturquoise2-ox,Superfolder mTurquoise2 ox,train,train
828,superfolder-yfp,Superfolder YFP,test,train
829,supernova2,SuperNova2,train,train
830,supernova-green,SuperNova Green,train,train
831,supernova-red,SuperNova Red,train,train
832,super-tagrfp,super-TagRFP,test,train
833,syfp2,SYFP2,val,train
834,tagbfp,TagBFP,test,train
835,tagcfp,TagCFP,train,train
836,taggfp,TagGFP,val,train
837,taggfp2,TagGFP2,train,train
838,tagrfp,TagRFP,train,train
839,tagrfp657,TagRFP657,train,train
840,tagrfp658,TagRFP658,val,train
841,tagrfp675,TagRFP675,train,train
842,tagrfp-t,TagRFP-T,val,train
843,tagyfp,TagYFP,train,val
844,td5oxstaygold,td5oxStayGold,train,test
845,td5staygold,td5StayGold,train,val
846,td8oxstaygold,td8oxStayGold,test,train
847,tdimer212,tdimer2(12),val,train
848,tdkatushka2,tdKatushka2,test,train
849,tdlanyfp,tdLanYFP,train,train
850,tdoxstaygold,tdoxStayGold,train,val
851,td-rfp611,td-RFP611,val,train
852,td-rfp639,td-RFP639,train,train
853,tdsmurfp,TDsmURFP,train,test
854,tdstaygold,tdStayGold,train,train
855,tdtomato,tdTomato,train,train
856,thermostable-green-protein,Thermostable Green Protein,train,train
857,tkeima,tKeima,train,train
858,topaz,Topaz,train,test
859,tripartitegfp,TripartiteGFP,test,train
860,t-sapphire,T-Sapphire,train,val
861,turbofp602,TurboFP602,val,train
862,turbogfp,TurboGFP,train,val
863,turbogfp-v197l,TurboGFP-V197L,train,test
864,turborfp,TurboRFP,train,train
865,turboyfp,TurboYFP,train,train
866,turquoise-gl,Turquoise-GL,train,train
867,ultramarine,Ultramarine,train,test
868,unag,UnaG,train,train
869,usgfp,usGFP,train,train
870,v127t-saasoti,V127T SAASoti,val,train
871,v127t-saasoti,V127T SAASoti,train,train
872,var1,Var1,train,test
873,venus,Venus,train,test
874,vfp,VFP,train,train
875,vsfgfp-0,vsfGFP-0,test,train
876,vsfgfp-9,vsfGFP-9,train,test
877,w1c,W1C,train,val
878,w2,W2,val,train
879,w7,W7,train,train
880,wascfp,WasCFP,val,train
881,wi-phy,Wi-Phy,train,train
882,wiphy2,WiPhy2,train,val
883,yfp3,YFP3,train,train
884,ygfpdp,YGFPdp,train,train
885,ygfpuv,YGFPuv,val,train
886,ypet,YPet,train,val
887,yuzufp,YuzuFP,test,train
888,zfp538,zFP538,train,test
889,zoan2rfp,zoan2RFP,train,train
890,zsgreen,ZsGreen,train,val
891,zsgreen1,ZsGreen1,train,train
892,zsyellow1,ZsYellow1,train,val
893,alphagfp,αGFP,val,train
